VulnerabilityScore,Sector,Region,Size,Companies
4,IT - Services,EU & Russia,Medium,761.0069973
1,Defense / Military Contractor,EU & Russia,Large,61.34329919
1,Mining & Primary Industries,EU & Russia,Large,220.9453469
1,Pharmaceuticals,EU & Russia,Large,108.1660978
2,Energy,EU & Russia,Large,2643.814344
2,Food & Agriculture,EU & Russia,Large,4446.971438
2,Telecommunications,EU & Russia,Large,145.7843521
2,Utilities,EU & Russia,Large,565.5556575
4,IT - Hardware,EU & Russia,Large,434.1941764
4,Manufacturing,EU & Russia,Large,11072.4351
4,Real Estate / Property / Construction,EU & Russia,Large,1996.385398
3,Tourism & Hospitality,EU & Russia,Large,1624.403962
4,Transportation / Aviation / Aerospace,EU & Russia,Large,5223.67721
3,Business & Professional Services,EU & Russia,Large,24292.53816
5,Education,EU & Russia,Large,1178.009315
4,Entertainment & Media,EU & Russia,Large,2025.807075
4,Finance - Insurance,EU & Russia,Large,1046.190481
4,Finance - Investment management,EU & Russia,Large,830.8323226
4,Healthcare,EU & Russia,Large,9790.206197
4,IT - Software,EU & Russia,Large,1596.714068
5,Retail,EU & Russia,Large,9915.295232
5,Finance - Banking,EU & Russia,Large,3070.26305
4,IT - Services,EU & Russia,Large,158.7376559
1,Defense / Military Contractor,EU & Russia,Premier,63.51272895
1,Mining & Primary Industries,EU & Russia,Premier,8.470419851
1,Pharmaceuticals,EU & Russia,Premier,7.175431171
2,Energy,EU & Russia,Premier,19.34387012
2,Food & Agriculture,EU & Russia,Premier,15.98475386
2,Telecommunications,EU & Russia,Premier,14.35344478
2,Utilities,EU & Russia,Premier,9.31183252
4,IT - Hardware,EU & Russia,Premier,21.0237869
4,Manufacturing,EU & Russia,Premier,149.5745589
4,Real Estate / Property / Construction,EU & Russia,Premier,110.3889613
3,Tourism & Hospitality,EU & Russia,Premier,27.01567993
4,Transportation / Aviation / Aerospace,EU & Russia,Premier,47.48749143
3,Business & Professional Services,EU & Russia,Premier,107.3927923
5,Education,EU & Russia,Premier,51.31558115
4,Entertainment & Media,EU & Russia,Premier,12.86263086
4,Finance - Insurance,EU & Russia,Premier,10.11996826
4,Finance - Investment management,EU & Russia,Premier,34.34763265
4,Healthcare,EU & Russia,Premier,71.39517026
4,IT - Software,EU & Russia,Premier,21.0237869
5,Retail,EU & Russia,Premier,49.7028078
5,Finance - Banking,EU & Russia,Premier,34.34763265
4,IT - Services,EU & Russia,Premier,21.0237869
